#BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         609      3.3156     3.26011  0.00369165
         610     3.31088     3.26019  0.00368654
         611     3.29112     3.26024  0.00368086
         612     3.27979     3.26028  0.00367498
         613     3.26674     3.26029    0.003669
         614     3.25434     3.26028  0.00366304
         615     3.25742     3.26027  0.00365708
         616     3.28089      3.2603   0.0036513
         617     3.30858     3.26038  0.00364622
         618     3.31727     3.26047  0.00364148
         619     3.31495     3.26056  0.00363666
         620     3.31871     3.26066  0.00363201
         621     3.32708     3.26076  0.00362773
         622     3.32837     3.26087  0.00362353
         623     3.30051     3.26094  0.00361827
         624     3.22139     3.26087  0.00361303
         625     3.25291     3.26086  0.00360727
         626     3.30669     3.26093  0.00360225
         627     3.31063     3.26101  0.00359737
         628     3.30046     3.26108  0.00359219
         629     3.31447     3.26116  0.00358749
         630     3.31714     3.26125  0.00358289
         631     3.29022     3.26129  0.00357751
         632     3.29316     3.26135   0.0035722
         633     3.33651     3.26146  0.00356853
         634     3.33534     3.26158  0.00356481
         635     3.31725     3.26167  0.00356027
         636     3.32985     3.26178  0.00355629
         637     3.33442     3.26189  0.00355253
         638     3.30523     3.26196  0.00354761
         639     3.25129     3.26194   0.0035421
         640     3.24297     3.26191  0.00353669
         641      3.2745     3.26193  0.00353123
         642     3.29184     3.26198  0.00352603
         643     3.28479     3.26201  0.00352073
         644     3.18855      3.2619  0.00351711
         645     3.21057     3.26182  0.00351256
         646     3.29322     3.26187  0.00350745
         647     3.32223     3.26196  0.00350327
         648     3.32423     3.26206  0.00349918
         649     3.30583     3.26212  0.00349444
         650     3.25637     3.26212  0.00348908
         651     3.21475     3.26204  0.00348448
         652     3.23066     3.26199  0.00347947
         653     3.26889     3.26201  0.00347415
         654     3.28791     3.26204  0.00346907
         655     3.29534      3.2621  0.00346414
         656     3.29738     3.26215  0.00345928
         657     3.29501      3.2622  0.00345438
         658     3.29022     3.26224  0.00344939
         659     3.28674     3.26228  0.00344435
         660     3.28237     3.26231  0.00343927
         661     3.26914     3.26232  0.00343408
         662     3.25534     3.26231  0.00342891
         663     3.26296     3.26231  0.00342374
         664      3.2809     3.26234   0.0034187
         665     3.28613     3.26237  0.00341374
         666     3.27255     3.26239  0.00340865
         667      3.2524     3.26237  0.00340358
         668      3.2619     3.26237  0.00339848
         669     3.28437     3.26241  0.00339356
         670     3.28584     3.26244  0.00338867
         671      3.2715     3.26246  0.00338365
         672     3.27071     3.26247  0.00337864
         673     3.28388      3.2625  0.00337377
         674     3.28721     3.26254  0.00336896
         675     3.27543     3.26256  0.00336402
         676     3.25354     3.26254  0.00335907
         677     3.24826     3.26252  0.00335418
         678     3.27091     3.26253  0.00334925
         679     3.29015     3.26257  0.00334457
         680     3.29596     3.26262  0.00334001
         681     3.29252     3.26267  0.00333539
         682     3.28751      3.2627   0.0033307
         683     3.28918     3.26274  0.00332605
         684     3.29882     3.26279  0.00332161
         685     3.30973     3.26286  0.00331747
         686     3.31286     3.26294  0.00331343
         687     3.30455       3.263  0.00330916
         688     3.29471     3.26304  0.00330467
         689     3.29623     3.26309  0.00330023
         690     3.31471     3.26317  0.00329629
         691     3.33853     3.26327  0.00329332
         692     3.33955     3.26339  0.00329041
         693     3.31392     3.26346  0.00328647
         694     3.28865     3.26349  0.00328193
         695     3.28421     3.26352  0.00327735
         696     3.31677      3.2636  0.00327353
         697     3.34525     3.26372  0.00327093
         698     3.33949     3.26383  0.00326805
         699     3.32598     3.26392  0.00326458
         700     3.33081     3.26401  0.00326131
         701     3.34638     3.26413  0.00325878
         702     3.35404     3.26426  0.00325665
         703     3.35135     3.26438  0.00325438
         704     3.34488     3.26449  0.00325176
         705     3.33474     3.26459  0.00324867
