#BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         703     2.23423     2.17625  0.00216958
         704     2.22992     2.17633  0.00216784
         705     2.22316      2.1764  0.00216578
         706     2.21366     2.17645  0.00216336
         707      2.2117      2.1765  0.00216087
         708     2.20728     2.17654  0.00215826
         709     2.20267     2.17658  0.00215553
         710     2.21145     2.17663  0.00215305
         711     2.21651     2.17668  0.00215075
         712     2.21481     2.17674   0.0021484
         713     2.21493     2.17679  0.00214605
         714     2.21821     2.17685  0.00214383
         715     2.22076     2.17691  0.00214171
         716     2.22244     2.17697  0.00213967
         717     2.21575     2.17703  0.00213737
         718     2.20279     2.17706  0.00213469
         719     2.21358     2.17712  0.00213233
         720     2.22733     2.17718   0.0021305
         721     2.22822     2.17726  0.00212872
         722     2.22522     2.17732  0.00212681
         723     2.22489     2.17739  0.00212489
         724     2.22593     2.17745  0.00212301
         725     2.22547     2.17752  0.00212111
         726     2.22557     2.17759  0.00211923
